r,alpha,beta,x
"[0.4125421737448264, 0.5182489680092687, 0.4345788031663668, 0.22858160927253024, 0.4777418649013743]","[0.10481090986617914, 0.08746734362387502, 0.10669512019829884, 0.09859790027201928, 0.06838940245376282]","[0.40311410199012637, 0.44585641833799106, 0.39191194473315316, 0.4803052968249355, 0.38394535933226775]","[10.481090986617914, 44.58564183379911, 10.669512019829885, 9.859790027201928, 24.40396513255116]"
"[0.5346209829405363, 0.5366273494149668, 0.3946341160560964, 0.3041308049823057, 0.33296931747367875]","[0.11222739746203918, 0.09927691513769442, 0.1448117872319647, 0.12732130631885263, 0.12612091177695323]","[0.503299917667985, 0.4601480314265036, 0.47857649757554754, 0.5011597866389936, 0.5354102637299569]","[14.159796324572575, 46.014803142650365, 14.48117872319647, 12.732130631885264, 12.612091177695323]"
"[0.1303986389781212, 0.23401833235346592, 0.36964573154997643, 0.3263539472345224, 0.06592523474903146]","[0.07883453704315511, 0.1134748407686358, 0.12036056614412867, 0.05293312596056661, 0.10368414723040129]","[0.4130089646850065, 0.43914629136801253, 0.45991201521929853, 0.39213547985860864, 0.5221371872410588]","[7.883453704315511, 11.34748407686358, 45.99120152192985, 24.409445973850925, 10.368414723040129]"
"[0.05231102175368392, 0.4291481441203467, 0.3017942784992758, 0.11049577338393281, 0.20207251856565495]","[0.09896347024501057, 0.138223612135648, 0.103692908807678, 0.12746470630622087, 0.07418575939243309]","[0.3878524147222094, 0.42239041933227295, 0.3773439512621829, 0.4855744778272081, 0.5479297719168715]","[9.896347024501056, 42.2390419332273, 27.69956447240625, 12.746470630622087, 7.418575939243309]"
"[0.448226963411949, 0.37295401355425506, 0.4291382884592071, 0.28744917141661475, 0.24400461614762642]","[0.14941220437935193, 0.06760649345676112, 0.06394849474430188, 0.051331053167132316, 0.10489128669053394]","[0.3713087058101658, 0.401288447337697, 0.3595814591203164, 0.407060214999981, 0.48504664696316213]","[37.13087058101658, 11.288749521185153, 35.95814591203164, 5.133105316713231, 10.489128669053393]"
"[0.4174641472709247, 0.4180489736617536, 0.3853895938829804, 0.2502319793701274, 0.2378206572476375]","[0.1444285976412531, 0.12029748542416369, 0.07943375743881899, 0.07554740994667676, 0.05999692328300134]","[0.44233317635653213, 0.5272010341526033, 0.3899090805676991, 0.40307340128047414, 0.5275151412864405]","[25.782087517889956, 52.72010341526033, 7.943375743881899, 7.554740994667676, 5.999692328300134]"
"[0.09460002723580753, 0.21348077183824454, 0.4598960602167742, 0.21899651616151977, 0.3026457653500576]","[0.1279235643304738, 0.12861559471766842, 0.08745630109639732, 0.08546313809262834, 0.11566834591633209]","[0.4906959521446679, 0.41575274076276564, 0.3935947184758473, 0.40658822640430364, 0.3682931039551679]","[12.792356433047381, 12.861559471766842, 39.35947184758473, 8.546313809262834, 26.44029843833821]"
"[0.33117822931782165, 0.5497367283282083, 0.3894385787741261, 0.4897860883654977, 0.24443196644953102]","[0.12535052611449823, 0.1296254076105331, 0.08405871859603356, 0.07065089012967937, 0.08259024519860587]","[0.35224517538985534, 0.4037569068285053, 0.46199047395708287, 0.4054547325524345, 0.4043173145401796]","[12.535052611449823, 40.37569068285053, 8.405871859603357, 30.424360326235693, 8.259024519860587]"
"[0.10296455591213567, 0.17882564433380205, 0.32687691445081507, 0.30373110697884775, 0.32101230320035107]","[0.06028441079913576, 0.10969270388577274, 0.14910004581102965, 0.1473681930176789, 0.08326628170642111]","[0.45172144255558755, 0.386617301352326, 0.37596905601400904, 0.4925884006414438, 0.38503724904043474]","[6.028441079913576, 10.969270388577273, 37.596905601400906, 14.73681930176789, 30.668563628340358]"
"[0.241585657309019, 0.26843441244428146, 0.31627333482976966, 0.5385171212353816, 0.20570268733814134]","[0.11526162030573905, 0.10684117150052819, 0.12622261175557475, 0.09638570514715847, 0.11894944315357762]","[0.3652894189794862, 0.5282749968162666, 0.5082592023415992, 0.41743549512324896, 0.5220429255520945]","[11.526162030573905, 10.684117150052819, 24.151226991690628, 41.7435495123249, 11.894944315357762]"
"[0.3145859640763117, 0.17209950837005134, 0.42560499787940176, 0.2814670439310753, 0.40511332007747947]","[0.08984559051083944, 0.13851633280253048, 0.13191659044870163, 0.13740890781490311, 0.14392635241384366]","[0.46239673131883574, 0.4757856794259424, 0.3550213202459631, 0.444714912780493, 0.39617566414385713]","[8.984559051083945, 13.851633280253047, 35.502132024596314, 13.740890781490311, 27.920784862576372]"
"[0.4227028212629376, 0.12141098069225893, 0.13568848021803898, 0.24066960942840165, 0.10100679104721506]","[0.07193862543951901, 0.13161442204938772, 0.12237148510905986, 0.11934024190727537, 0.06948028899852964]","[0.5071866553521904, 0.5252727618735562, 0.5168308723400212, 0.40466964527482546, 0.4297571123642786]","[50.718665535219046, 13.161442204938773, 12.237148510905985, 16.93471484908323, 6.948028899852964]"
"[0.4260774016930545, 0.5474312322376178, 0.5407693112353025, 0.09019426432558554, 0.14543955203899572]","[0.06809025741546516, 0.10259456110497012, 0.06388096942408743, 0.1272091132993977, 0.14507764098577897]","[0.44196385699125046, 0.5345223806505717, 0.43008836862752337, 0.3799543567479966, 0.43483153045475176]","[6.809025741546517, 53.452238065057166, 12.510060764878649, 12.72091132993977, 14.507764098577896]"
"[0.3156288122966761, 0.5164340560923418, 0.339682803446324, 0.18804617249958577, 0.07844794182352706]","[0.07013564394297142, 0.09565025626278034, 0.14466023732233513, 0.1162561226690578, 0.12328417737645946]","[0.487849550545821, 0.39082284158912706, 0.4144800495740206, 0.4701881527957485, 0.4797076847596122]","[7.013564394297142, 39.08228415891271, 29.950121442238423, 11.62561226690578, 12.328417737645946]"
"[0.48135683232108395, 0.06727301743767834, 0.3930836750963094, 0.48740196364020066, 0.16165411572622768]","[0.05847571598422533, 0.07677542294687581, 0.11192762886201245, 0.05090500360997433, 0.06682133683325461]","[0.5233073836363807, 0.4814614866984819, 0.39762455074556735, 0.41085275040173397, 0.39933611908935013]","[33.36228609561231, 7.677542294687581, 11.192762886201244, 41.0852750401734, 6.682133683325461]"
"[0.29309443165572635, 0.14119755797274697, 0.32911206756041966, 0.14794107811969198, 0.1732655076352067]","[0.12797083036025192, 0.08813572449538343, 0.08004377675231863, 0.09791442612631115, 0.11468124018100503]","[0.38417076425813995, 0.5145480246065809, 0.4249554548721314, 0.3929250687312048, 0.5450929027148268]","[27.43131543251691, 8.813572449538343, 42.495545487213136, 9.791442612631116, 11.468124018100504]"
"[0.2531953382011108, 0.10835554704656154, 0.0913651854345874, 0.06714128856855651, 0.052489802124661436]","[0.07061730083834651, 0.06577021600950363, 0.05199486706516986, 0.07457683244213517, 0.1006447133421208]","[0.4849028836260048, 0.5002932341354405, 0.5364861181939137, 0.49365188192235626, 0.4090026164437922]","[48.49028836260048, 28.788070352456934, 5.1994867065169865, 7.457683244213517, 10.06447133421208]"
"[0.07278153656697568, 0.2926932363821837, 0.06554118279554906, 0.21311010342155634, 0.296364218244316]","[0.08364924832553415, 0.14546129780779954, 0.06863228954202179, 0.12024870565433235, 0.1390465711279087]","[0.384588863216947, 0.3638195285207227, 0.5286101738834332, 0.3991167131509249, 0.3990234895276028]","[8.364924832553415, 32.8446266950509, 6.863228954202179, 12.024870565433234, 39.90234895276028]"
"[0.47788542851471516, 0.33074321855252686, 0.2569741186096831, 0.0636731896017197, 0.5274416869557691]","[0.1151824070297381, 0.07482864730979638, 0.0976617381548637, 0.12303176348575683, 0.08697965922165067]","[0.4982128311329189, 0.40297379777743847, 0.4872353908031356, 0.4211397390874404, 0.5190307791325802]","[18.544707191700287, 7.482864730979638, 9.76617381548637, 12.303176348575683, 51.903077913258024]"
"[0.4300265223710229, 0.2633600982487757, 0.2637652730693903, 0.42181619295690204, 0.3550016023661663]","[0.12334700254779715, 0.08971851379097476, 0.12146710162400141, 0.11656014213549633, 0.10728435507680888]","[0.41027966030327817, 0.45379693910525565, 0.366442228715139, 0.3686789541494119, 0.4156202747125547]","[41.02796603032782, 8.971851379097476, 12.146710162400142, 27.125036920493685, 10.728435507680887]"
"[0.5486440177727491, 0.22708034101999897, 0.5245150054191378, 0.48166459520620786, 0.31424480846434966]","[0.07452730909946134, 0.08250783783252008, 0.1271366983826667, 0.0642273234954367, 0.053790918016508794]","[0.38280906224768174, 0.534287932966123, 0.5156839760982072, 0.41721116910861455, 0.44922811436739785]","[38.280906224768174, 8.250783783252007, 41.66648584078527, 6.4227323495436695, 5.37909180165088]"
"[0.16496933841538863, 0.5046589227082475, 0.29886139633066056, 0.5094555909521774, 0.5130307022836135]","[0.059360026926847276, 0.0663282933837859, 0.0840359157643053, 0.13629104507198925, 0.1396737035512715]","[0.4406020877200684, 0.5198702626157249, 0.3502812654889541, 0.3644777671358625, 0.4372252303175788]","[5.936002692684728, 6.63282933837859, 8.40359157643053, 35.30505336074828, 43.72252303175788]"
"[0.5497422541812976, 0.5230307371723676, 0.28161576992706605, 0.11324393686145075, 0.26834481211771727]","[0.14459136286585997, 0.13150665570341635, 0.06731448002502981, 0.09861097397373866, 0.08607053616803692]","[0.36393571633233435, 0.420656720311786, 0.5128474752846413, 0.5192975426590917, 0.3954140342719965]","[36.393571633233435, 38.40682935008603, 6.73144800250298, 9.861097397373866, 8.607053616803691]"
"[0.2955241102313651, 0.1868272565471628, 0.39605718352749514, 0.3732922656879535, 0.08008664603966921]","[0.13602172288509068, 0.09747184514817114, 0.0876957319019527, 0.11988432307913628, 0.12712920997084848]","[0.4005194654009311, 0.4859029971645674, 0.4141282995381768, 0.47845337850256614, 0.5084215856392919]","[13.602172288509069, 9.747184514817114, 41.412829953817685, 22.524892245771294, 12.712920997084847]"
"[0.07306690353517399, 0.4893909163736437, 0.24607466008154594, 0.12208345110965553, 0.5171173292022864]","[0.07638714831635868, 0.1247661623571124, 0.06651574062855821, 0.11510097745744201, 0.10684102510581449]","[0.5330191809841746, 0.5212808897070145, 0.3970986493506765, 0.5449301497941756, 0.3812798564406715]","[7.638714831635868, 36.071627715696955, 6.651574062855821, 11.5100977457442, 38.12798564406715]"
"[0.47319465439699465, 0.19060823305257918, 0.16655725287950496, 0.46691435155700234, 0.1372509392181958]","[0.0764952815991902, 0.0800597834976606, 0.1047561078127072, 0.07022035692652115, 0.06888529918367604]","[0.36749605166422256, 0.4470708465082309, 0.4281353112400196, 0.4954733441694802, 0.5305605398111393]","[36.749605166422256, 8.00597834976606, 10.475610781270719, 37.880275784173364, 6.888529918367604]"
"[0.4678740393672426, 0.44764901807868174, 0.08478949000096876, 0.13890130558647945, 0.4185383795880072]","[0.10260485889784846, 0.14349473906425936, 0.08534026487030771, 0.05584250398366817, 0.11204860634483209]","[0.3750399193417555, 0.40982191439972737, 0.465500575129135, 0.4953818859334586, 0.4073719407877388]","[37.50399193417555, 37.172870545943645, 8.534026487030772, 5.584250398366817, 11.20486063448321]"
"[0.06605000355582509, 0.22586630324433565, 0.35511453538927906, 0.3384166442285034, 0.2168724106578267]","[0.10790994256948065, 0.14732959425005804, 0.12066629497866446, 0.0713829860908086, 0.12324218974838998]","[0.36444857712970047, 0.4900773200813335, 0.42308259640352525, 0.4993539634265628, 0.45583239888761573]","[10.790994256948066, 14.732959425005804, 42.308259640352524, 19.843567702854607, 12.324218974838997]"
"[0.22793003224386105, 0.20206115347893167, 0.5334139427359941, 0.4899847127431576, 0.0987561109451658]","[0.09606088410056585, 0.07703759325075463, 0.11255324590978298, 0.13112790753865838, 0.07249909366016646]","[0.5080944167718471, 0.36855417402274765, 0.39614524217605246, 0.4068834687326365, 0.40725604671098387]","[9.606088410056584, 7.703759325075462, 39.61452421760524, 35.82571868124606, 7.249909366016646]"
"[0.12487582963114986, 0.34704505059297247, 0.07469515065990869, 0.5273432212222012, 0.18561015716630608]","[0.08287533452208365, 0.14635339627059107, 0.06398141963335315, 0.06352390182383627, 0.05020149709475696]","[0.5344688363613586, 0.48278195676824304, 0.49410823072990473, 0.4168178636949209, 0.5032725784388543]","[8.287533452208365, 38.612388505488546, 6.3981419633353145, 41.68178636949209, 5.020149709475696]"
"[0.5404721254683191, 0.5082208623730837, 0.5473531562289577, 0.07668931218030813, 0.4315126963966888]","[0.06017543070816109, 0.08059120422509373, 0.1417628691282749, 0.13931699508212897, 0.1156435261229576]","[0.3927429055475638, 0.5096323175933859, 0.3868686629328907, 0.4419032207538873, 0.5471705729947887]","[27.75796116369289, 8.059120422509373, 38.68686629328907, 13.931699508212898, 11.56435261229576]"
"[0.1884284555818631, 0.19360580831553298, 0.47518422201702004, 0.11559569573334523, 0.1960038248605424]","[0.0588273079004166, 0.10001821088818895, 0.05472524352542574, 0.12662482138999787, 0.10049214552687458]","[0.3871673137900614, 0.40652321580860823, 0.5472736115375876, 0.4326825719418056, 0.5137688073102966]","[5.88273079004166, 10.001821088818895, 54.72736115375876, 12.662482138999787, 16.725604828380895]"
"[0.17126966043769842, 0.3078603611979846, 0.24379402565067154, 0.4015255998970752, 0.09275648412990296]","[0.12479879693828204, 0.10029104987866624, 0.07035752648183165, 0.06421632812301217, 0.054526793746722674]","[0.4275557797092265, 0.4492391819510224, 0.39616516903870136, 0.3687425923958364, 0.4547156615718726]","[12.479879693828204, 38.15742904373272, 7.0357526481831645, 36.87425923958364, 5.452679374672267]"
"[0.07104572729191412, 0.10300747256279032, 0.326910654542405, 0.4506757142117567, 0.34352526479998763]","[0.10032531547695528, 0.0823283436011429, 0.08353140968662154, 0.0684186486821976, 0.1427726869138992]","[0.3541299796077784, 0.3973690024881243, 0.37902793505355276, 0.4432891353490195, 0.39261033170267845]","[10.032531547695529, 8.232834360114289, 8.353140968662153, 44.32891353490195, 29.05257958862608]"
"[0.5213459131400525, 0.4636649531307938, 0.47465326277714465, 0.2950224021443055, 0.23332357246334345]","[0.0583533827714015, 0.05536385158682279, 0.12161957925310263, 0.1384729449485399, 0.05217481706008151]","[0.4765422894469918, 0.451294118216284, 0.5183872203386569, 0.4727506376070756, 0.37337106789845925]","[47.65422894469918, 5.536385158682279, 27.744609695756402, 13.84729449485399, 5.217481706008151]"
"[0.352747540262997, 0.10277341045408923, 0.34116741102909975, 0.4282740771331656, 0.3580302388034411]","[0.09075891252206075, 0.07138318992106238, 0.11783104262135617, 0.06998200021227727, 0.11204894521140404]","[0.38767019948695647, 0.546861984801811, 0.5106288336119965, 0.524066497877355, 0.5252031400066222]","[9.075891252206075, 7.138318992106238, 11.783104262135618, 52.4066497877355, 19.59603570581656]"
"[0.49453723395227656, 0.3122972342810234, 0.19610885369969666, 0.28013665515203584, 0.06997653467739641]","[0.08709822381022134, 0.09210012293885164, 0.07645007770023084, 0.10421820858428504, 0.08847645466263585]","[0.5165525564256279, 0.4308353433440182, 0.5107412335039374, 0.3641078427482284, 0.5108931547899634]","[51.65525564256279, 21.430270262722033, 7.645007770023084, 10.421820858428504, 8.847645466263584]"
"[0.15842291543330328, 0.5482387166423848, 0.43131720232655457, 0.4924669073802789, 0.0834647893562296]","[0.1224442853438817, 0.11372180784301276, 0.13246001884179326, 0.1410306589171983, 0.13183640543854064]","[0.4101076105890586, 0.383165210559735, 0.5298236758962929, 0.43066023663678865, 0.37295735041833356]","[12.24442853438817, 38.3165210559735, 13.246001884179325, 23.00940798160494, 13.183640543854064]"
"[0.27923799616484757, 0.5137875011486949, 0.3696923257625662, 0.2106339925795473, 0.43935999747399446]","[0.08993445635341649, 0.11886424999075179, 0.12679818040065305, 0.07020203231333398, 0.10567543946621105]","[0.3583204148871504, 0.5314715673115649, 0.395895210676918, 0.5213585365086129, 0.5208354739964414]","[8.993445635341649, 53.147156731156485, 12.679818040065305, 7.020203231333398, 18.159376362103167]"
"[0.05487582891295996, 0.37257711199185506, 0.05801838065701105, 0.4958246618879982, 0.40651059306698206]","[0.1141962595364069, 0.06921424415222993, 0.0658223450508214, 0.06895790732500262, 0.09744699850789734]","[0.5046352511087595, 0.38243158089455515, 0.513788541171631, 0.530249161007277, 0.5429194415150358]","[11.41962595364069, 6.921424415222993, 6.582234505082139, 53.0249161007277, 22.05179902532648]"
"[0.45106675267148666, 0.1525367440817313, 0.4808204015155547, 0.2260238597311114, 0.3205376706035381]","[0.06346785983640217, 0.08888883278158702, 0.12798323871447087, 0.08416204911296866, 0.07077051386237644]","[0.4614748133170134, 0.4716145744133776, 0.3591524672539323, 0.5003751815061651, 0.3905389160145066]","[39.70261369891355, 8.888883278158701, 35.91524672539323, 8.416204911296866, 7.0770513862376445]"
"[0.2178330434357177, 0.27109443815786666, 0.2314192958657461, 0.32512536621728594, 0.4066453271745602]","[0.10570883502759704, 0.12972059478899703, 0.11292961109594735, 0.07040111296264186, 0.12412838165943405]","[0.517901887463826, 0.5103639288545677, 0.42715549461742497, 0.4309269862308252, 0.4431202680822488]","[10.570883502759704, 12.972059478899704, 11.292961109594735, 20.85206910052097, 44.31202680822488]"
"[0.20297988158283714, 0.24989288783196606, 0.23914076029331055, 0.3982300828431702, 0.08534237840068938]","[0.11046768814710897, 0.11522710830897935, 0.1368634737686371, 0.09248464369392582, 0.1127972454649462]","[0.5402960208914275, 0.3852682950900532, 0.36802207483567145, 0.4162028885317789, 0.4602033468626681]","[11.046768814710898, 22.366870408752877, 13.686347376863711, 41.62028885317789, 11.27972454649462]"
"[0.19989572497080033, 0.27164746688391544, 0.5043319035640305, 0.25250800875549145, 0.16891610643077792]","[0.08719267170385264, 0.08061360124840049, 0.1054247819588209, 0.06066120731076178, 0.10048392766348156]","[0.5456674431429609, 0.5102673165440827, 0.3502291164748216, 0.4957050965665811, 0.44045141834923934]","[8.719267170385264, 40.14330768470823, 35.02291164748216, 6.066120731076178, 10.048392766348156]"
"[0.18324969595356594, 0.21397478681933102, 0.4801313409593549, 0.31846888553185443, 0.4947773910842958]","[0.11350556018500647, 0.12452321408212455, 0.07993074171353186, 0.11211298987412735, 0.06153270796250576]","[0.4123368922297967, 0.40169724824025904, 0.5034665308088929, 0.4599065960114861, 0.45691411796798775]","[11.350556018500647, 12.452321408212455, 19.294411789075394, 11.211298987412736, 45.691411796798775]"
"[0.08840651143430568, 0.46679895725940135, 0.251120972102737, 0.3865248321590268, 0.2527747794491085]","[0.120731470253947, 0.10969509115678233, 0.116193646751676, 0.07193685253893131, 0.09053023594550383]","[0.42534933825300353, 0.41477071775567176, 0.38510730603239046, 0.3995112211906248, 0.45983284455165835]","[12.0731470253947, 41.477071775567175, 11.6193646751676, 25.777392929320143, 9.053023594550384]"
"[0.11837103329591671, 0.48883042924176473, 0.5444626623301724, 0.4545710420351568, 0.20816706341297425]","[0.09080932763241892, 0.0675174501436152, 0.057585128325189854, 0.13058419898281848, 0.07366926375168167]","[0.4269700007077425, 0.4598760603870979, 0.4849971593669523, 0.5172395017666065, 0.4406629728281283]","[9.080932763241892, 21.994005026612875, 48.49971593669523, 13.058419898281848, 7.366926375168167]"
"[0.08919867353547185, 0.4277783953817223, 0.2731911110637218, 0.259598159671172, 0.15664141213386057]","[0.07208347241073161, 0.08474222970321958, 0.1455596921954473, 0.08672072332528268, 0.05191783082002632]","[0.45585419496727636, 0.5124178335389274, 0.4532082215180261, 0.47677527144144544, 0.48781917894471727]","[7.208347241073161, 51.24178335389274, 27.686013990503206, 8.672072332528268, 5.191783082002632]"
"[0.2850149434033112, 0.3498436261814046, 0.3027149259002205, 0.06061572269064215, 0.5094799768775969]","[0.1234039896841594, 0.08301053473737555, 0.05287301255276344, 0.06872929383357629, 0.10070182414840144]","[0.5071964907422117, 0.4664931832300948, 0.5222657331995932, 0.4852423571342497, 0.500886408773782]","[12.34039896841594, 25.41072951557189, 5.287301255276344, 6.872929383357629, 50.0886408773782]"
"[0.14247488192397662, 0.09838413796450853, 0.24504741521244555, 0.5326886051437775, 0.49621875723257275]","[0.10317415352306146, 0.10940823555881232, 0.11292614428773198, 0.07904784970430707, 0.09489681925943322]","[0.3976070684946641, 0.5143885251131668, 0.5429001668996334, 0.4818299938300016, 0.476087939259102]","[10.317415352306146, 10.940823555881233, 11.292614428773199, 48.18299938300016, 19.266147280039256]"
"[0.27097573743732817, 0.2458007958220222, 0.5280996560826949, 0.37967138703054126, 0.20508363108744143]","[0.14330601624554556, 0.1310145684489925, 0.13043460106761146, 0.060054554257735066, 0.13263781781957826]","[0.5305091217945389, 0.5186942505216912, 0.5250229448970944, 0.44382415102299433, 0.41557758805515527]","[14.330601624554557, 13.10145684489925, 52.50229448970944, 6.801865258878925, 13.263781781957826]"
"[0.46808346043983085, 0.4539007540228425, 0.10524511576904595, 0.39497642105325204, 0.31615195535423735]","[0.10491610099535345, 0.08539129964874313, 0.06548553626133471, 0.11299263114468812, 0.11809175434334002]","[0.39335019593055465, 0.5305040236693019, 0.3832429619234324, 0.38268282511800306, 0.5170969909839822]","[39.33501959305546, 31.007988232008255, 6.548553626133471, 11.299263114468811, 11.809175434334001]"
"[0.4682023882836882, 0.06027505745076657, 0.4806275538138212, 0.11085743813551958, 0.5343393239740141]","[0.0765064972308149, 0.11916483838453984, 0.05014210695943681, 0.14270875937677757, 0.13917276433855097]","[0.3646742519663565, 0.4965622514388507, 0.3865479565272911, 0.36160536185848585, 0.4430213836216338]","[7.65064972308149, 11.916483838453985, 21.859852138623395, 14.270875937677758, 44.302138362163376]"
"[0.4656708220247107, 0.15657172185185098, 0.16458735513284978, 0.0630821024526257, 0.2295571910323893]","[0.050367220823588646, 0.05762638484895038, 0.11019522085052316, 0.09165932987149088, 0.10241213611114247]","[0.39788335944904635, 0.47547604906276275, 0.48724568509060856, 0.3757551447956544, 0.4812383494913589]","[39.78833594490464, 5.762638484895038, 11.019522085052316, 9.165932987149088, 34.26357049799893]"
"[0.1628634477375065, 0.2842626264099962, 0.07729966744312479, 0.18628376137024394, 0.2649487837093509]","[0.14132689355806508, 0.11876653958054202, 0.12487642554282279, 0.13808397915551568, 0.10081708926644017]","[0.37601038814301996, 0.3679418122940579, 0.3962382019215654, 0.3504112801188803, 0.4977170878134217]","[14.132689355806507, 36.794181229405794, 12.487642554282278, 13.808397915551568, 22.77708894495386]"
"[0.5213440209393206, 0.09045717584263736, 0.17272782882945487, 0.37963674641165474, 0.10825338344988812]","[0.11831088812285966, 0.08105329717178913, 0.09824288458713903, 0.09690858784311084, 0.13209113045185383]","[0.5011718097736321, 0.36745646358858974, 0.4758324410972634, 0.5446253779127415, 0.35040421391237736]","[50.117180977363205, 8.105329717178913, 9.824288458713903, 18.7440878015586, 13.209113045185383]"
"[0.16599857608211643, 0.38229929662943646, 0.3136900588677808, 0.28567420094838697, 0.21159726056966732]","[0.07177802954871823, 0.14532504534542617, 0.14358057178234734, 0.10703707555824929, 0.10536638356466085]","[0.5125917078946058, 0.3966577689627092, 0.3884130123623862, 0.4163576646737287, 0.3515904639122143]","[7.177802954871823, 39.66577689627092, 31.916074236566246, 10.703707555824929, 10.536638356466085]"
"[0.45953293985881816, 0.45831359068493155, 0.06662691195183652, 0.3938035527134166, 0.22048404849272307]","[0.14380810735949162, 0.058707316700605194, 0.08421357734186295, 0.11922628310735166, 0.051266225917492636]","[0.5006784165311344, 0.46253922311588735, 0.4307734690851783, 0.47915875818518333, 0.516648478798147]","[50.06784165311344, 24.46154971021584, 8.421357734186294, 11.922628310735165, 5.126622591749264]"
"[0.3688653843696697, 0.41902376578902106, 0.34831187578408557, 0.3703665065059271, 0.383589562173113]","[0.08570642361711686, 0.06760050807503463, 0.10548574388005776, 0.1027910540931754, 0.08674017643014711]","[0.44058710804935014, 0.540424956316996, 0.40289552734067535, 0.5024322422509084, 0.38163952593246936]","[8.570642361711686, 54.04249563169961, 10.548574388005775, 10.279105409317541, 16.559182209265384]"
"[0.3870964024788861, 0.4905876250060921, 0.42771578598710147, 0.1659658178969599, 0.455857287991002]","[0.11462415344654606, 0.06117282301935372, 0.1479897427690458, 0.07978482940862888, 0.07908292618155369]","[0.4907207678922745, 0.5228929501819767, 0.411606380435939, 0.4270337251489689, 0.44520736853614656]","[11.462415344654605, 52.28929501819767, 14.79897427690458, 7.978482940862889, 13.470832419380258]"
"[0.49006867783864727, 0.3715758261970186, 0.32479770370588995, 0.18039447501505168, 0.35876550935784546]","[0.11794503423681203, 0.1305343512933263, 0.14405641841867461, 0.11098411257845112, 0.091012833562427]","[0.4913514629870561, 0.5344996481837999, 0.4325129268236952, 0.4865575891908853, 0.4048565900764762]","[49.135146298705614, 16.25951724533912, 14.405641841867462, 11.098411257845111, 9.1012833562427]"
"[0.2959714341892872, 0.13186765230039527, 0.2463549442355153, 0.05614917299042489, 0.272277485343433]","[0.08916992744315036, 0.08304249362580862, 0.11175563086961532, 0.1261446382094169, 0.06531258694647574]","[0.4899890494697327, 0.4348696288832513, 0.3874437593936262, 0.5238384341926368, 0.4307408266666727]","[48.99890494697327, 8.304249362580862, 11.175563086961532, 12.61446382094169, 18.906818782542647]"
"[0.21284094922018765, 0.09173699035313977, 0.09652612294745928, 0.3135365761947106, 0.4961113210221922]","[0.10924770438997158, 0.14316539914805182, 0.14381009445957865, 0.13919315456827874, 0.050880058967552794]","[0.5438549451497876, 0.5193406796582298, 0.42097682766886857, 0.4104459835609662, 0.5208708704825378]","[10.92477043899716, 14.316539914805182, 14.381009445957865, 13.919315456827874, 46.45836474341193]"
"[0.48623080118014267, 0.4834573974230539, 0.1596363181491765, 0.29531812472100777, 0.12021746900841974]","[0.08339667089070155, 0.14542209430862274, 0.07819004298442117, 0.062904634276546, 0.08133034027854177]","[0.5078936096926607, 0.42025027224244954, 0.5377954056375116, 0.49416237869989726, 0.3924551651852338]","[50.78936096926607, 26.968137276783033, 7.819004298442117, 6.2904634276546, 8.133034027854178]"
"[0.5178449733105605, 0.21880665172312752, 0.4647986344668782, 0.1839259610741435, 0.5312573084097726]","[0.1014562944509838, 0.12349256747877277, 0.05070759096477942, 0.10696877973638519, 0.053473503057908336]","[0.5194779777829912, 0.35916629939170475, 0.5397075768238928, 0.5217430402834399, 0.4449679050653578]","[27.386315675470485, 12.349256747877277, 5.070759096477942, 10.696877973638518, 44.49679050653578]"
"[0.23703492683605326, 0.5079453218648734, 0.368937442199821, 0.5004798299924703, 0.18857697447450716]","[0.14754899790245635, 0.11613446128386176, 0.05254095638690131, 0.08653633883313856, 0.13191791506060388]","[0.546067871354556, 0.4379730131042451, 0.5167038917346065, 0.4909388426101634, 0.4881811398567903]","[14.754899790245634, 43.79730131042451, 5.2540956386901305, 23.00191175457934, 13.191791506060389]"
"[0.49292109046158183, 0.1055210870495117, 0.21819177816674656, 0.3231903092115771, 0.11569649360798946]","[0.07756790174274103, 0.12817328195208189, 0.12892006669099298, 0.0520052060725828, 0.1284305142050834]","[0.4682991650577295, 0.5370484560504762, 0.4416162651905336, 0.4602289624748502, 0.49472109764838335]","[46.82991650577295, 12.817328195208189, 12.892006669099299, 14.617697209411222, 12.843051420508338]"
"[0.11876960636954416, 0.052004499153979436, 0.24970833245373675, 0.24848108421753856, 0.29072548335158466]","[0.1495223520877329, 0.1284564951897257, 0.061283355453561034, 0.05208332251756216, 0.05717092297833146]","[0.5089466289050617, 0.5245224020796411, 0.3682002291915212, 0.44206654434097303, 0.4383895248521135]","[14.95223520877329, 12.845649518972571, 23.154830535286564, 5.208332251756216, 43.83895248521135]"
"[0.1782460124956886, 0.25302184292011654, 0.08300723471358447, 0.4438433865991645, 0.33494857941332784]","[0.08206453084098844, 0.1016964347019749, 0.1123142184137012, 0.14626028637182079, 0.11315045551003457]","[0.43623164608252984, 0.3915842806089878, 0.4408829604789229, 0.439339008349115, 0.37782642777587616]","[8.206453084098845, 10.16964347019749, 11.231421841370121, 43.9339008349115, 26.458580769422056]"
